host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,availability_30,availability_90,availability_365,property_type,room_type,accommodates,bedrooms,beds,instant_bookable,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,calculated_host_listings_count,calculated_host_listings_count_private_rooms,bathroom_qty,bathroom_type,Long term stays allowed,Television,Heater,Internet,Air Conditioning,Essentials,Swimming Pool,Washer,Refrigerator,Cooking basics,Gym,Bathtub,Coffee,Clothing storage,Garden,Elevator,Security Lock,Patio or balcony,BBQ Grill,Sound system,name_len,desc_len,mrtDisp,nearestMRT,cityDisp
a few days or more,0.0,0.7301176800224078,f,t,t,Bukit Timah,Central Region,1.33432,103.78521,1.0,1.0,1.0,Apartment,Private room,2,1.0,1.0,f,80.0,18,0.18,4.56,4.78,1,1,1.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,89,0.2721137757809473,King Albert Park,9.168433351136757
within an hour,1.0,1.0,f,t,t,Tampines,East Region,1.34537,103.95887,0.16666666666666666,0.7222222222222222,0.9315068493150684,House,Private room,6,2.0,3.0,f,145.0,20,0.15,4.44,4.0,6,6,1.0,private,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8,157,0.4567737768127099,Upper Changi,13.932315193929359
within an hour,1.0,1.0,f,t,t,Tampines,East Region,1.3449,103.95979,0.0,0.1111111111111111,0.7808219178082192,Apartment,Private room,4,3.0,5.0,t,184.0,12,0.1,4.83,4.75,6,6,3.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,174,0.35395565077488467,Upper Changi,13.995597540155165
within a day,0.8,0.21,f,t,t,Newton,Central Region,1.31142,103.83924,1.0,1.0,1.0,Apartment,Private room,2,1.0,1.0,f,79.0,133,1.03,4.43,4.16,7,6,1.0,shared,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,165,0.3002942750315156,Newton,3.3477894258608822
within an hour,0.99,0.82,f,t,t,Bukit Merah,Central Region,1.28828,103.8102,0.16666666666666666,0.05555555555555555,0.4958904109589041,Apartment,Private room,1,1.0,1.0,f,49.0,17,0.14,3.62,4.0,44,42,0.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,165,0.7484828976356619,Redhill,4.458968184572778
within an hour,0.99,0.82,f,t,t,Bukit Merah,Central Region,1.28652,103.81225,0.9666666666666667,0.6333333333333333,0.9095890410958904,Apartment,Private room,1,1.0,1.0,f,55.0,12,0.11,4.73,4.55,44,42,2.0,shared,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,173,0.6143131491341643,Redhill,4.211805330179388
within an hour,0.99,0.82,f,t,t,Bukit Merah,Central Region,1.28636,103.81138,0.9666666666666667,0.9888888888888889,0.9972602739726028,Apartment,Private room,1,1.0,1.0,f,55.0,3,0.03,5.0,4.5,44,42,4.0,shared,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,153,0.7050458466841341,Redhill,4.306736484274563
within an hour,1.0,1.0,f,t,t,Tampines,East Region,1.34917,103.9609,1.0,1.0,1.0,Apartment,Private room,1,1.0,1.0,t,42.0,59,0.46,4.59,4.45,6,6,2.0,shared,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7,87,0.7759482961072602,Upper Changi,14.339930729246126
within a day,0.8,0.21,f,t,t,Newton,Central Region,1.31144,103.83784,0.0,0.4111111111111111,0.8547945205479452,Apartment,Private room,2,1.0,1.0,f,79.0,81,0.74,4.43,4.41,7,6,1.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,102,0.2665168583819161,Newton,3.408540762014142
within a day,0.8,0.21,f,t,t,Newton,Central Region,1.31129,103.83788,1.0,1.0,1.0,House,Private room,2,1.0,1.0,f,66.0,165,1.3,4.39,4.12,7,6,1.0,shared,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,168,0.28287011221025765,Newton,3.3914667221829973
unknown,0.8849536231883985,0.7301176800224078,f,t,f,River Valley,Central Region,1.29335,103.83768,0.7666666666666667,0.9222222222222223,0.2273972602739726,Apartment,Private room,1,1.0,1.0,f,100.0,27,0.24,4.31,4.08,1,1,0.0,baths,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5,162,0.7949315205057487,Fort Canning,1.7676456764873354
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Tampines,East Region,1.34816,103.93238,0.0,0.0,0.0,Apartment,Private room,2,1.0,1.0,f,37.0,0,0.0,0.0,0.0,1,1,1.0,baths,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,161,0.7120690774237538,Tampines West,11.65677980611882
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Tampines,East Region,1.34361,103.95717,1.0,1.0,0.2493150684931507,Apartment,Private room,2,1.0,1.0,f,83.0,80,0.81,4.82,4.79,1,1,2.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,171,0.4274436018332061,Simei,13.671420074209848
