price,latitude,longitude,property_type,room_type,bedrooms,beds,bathroom_qty,bathroom_type
80.0,1.33432,103.78521,Apartment,Private room,1.0,1.0,1.0,baths
145.0,1.34537,103.95887,House,Private room,2.0,3.0,1.0,private
184.0,1.3449,103.95979,Apartment,Private room,3.0,5.0,3.0,baths
79.0,1.31142,103.83924,Apartment,Private room,1.0,1.0,1.0,shared
49.0,1.28828,103.8102,Apartment,Private room,1.0,1.0,0.0,baths
55.0,1.28652,103.81225,Apartment,Private room,1.0,1.0,2.0,shared
55.0,1.28636,103.81138,Apartment,Private room,1.0,1.0,4.0,shared
42.0,1.34917,103.9609,Apartment,Private room,1.0,1.0,2.0,shared
79.0,1.31144,103.83784,Apartment,Private room,1.0,1.0,1.0,baths
66.0,1.31129,103.83788,House,Private room,1.0,1.0,1.0,shared
100.0,1.29335,103.83768,Apartment,Private room,1.0,1.0,0.0,baths
37.0,1.34816,103.93238,Apartment,Private room,1.0,1.0,1.0,baths
83.0,1.34361,103.95717,Apartment,Private room,1.0,1.0,2.0,baths
170.0,1.30096,103.85206,Apartment,Private room,1.0,1.0,2.0,baths
100.0,1.30938,103.79812,Apartment,Private room,1.0,1.0,1.0,baths
26.0,1.36926,103.87312,Apartment,Private room,1.0,1.0,1.0,baths
119.0,1.27663,103.84498,Apartment,Private room,1.0,1.0,1.0,shared
119.0,1.27585,103.84597,Apartment,Private room,1.0,1.0,1.0,shared
250.0,1.30416,103.90076,Apartment,Private room,1.0,1.0,1.0,private
69.0,1.2841,103.84253,Apartment,Private room,1.0,1.0,2.0,shared
55.0,1.29065,103.80941,Apartment,Private room,1.0,1.0,0.0,baths
300.0,1.30492,103.90315,Apartment,Entire home/apt,2.0,2.0,2.0,baths
284.0,1.31313,103.91479,Apartment,Private room,1.0,1.0,0.0,baths
150.0,1.27716,103.82299,Apartment,Private room,1.0,2.0,1.0,private
57.0,1.3092,103.86339,Apartment,Private room,1.0,1.0,1.0,private
79.0,1.28485,103.84317,Apartment,Private room,1.0,1.0,1.0,private
57.0,1.31208,103.85846,Apartment,Private room,1.0,1.0,1.0,private
57.0,1.30663,103.86243,Apartment,Private room,1.0,1.0,1.0,private
90.0,1.33389,103.83454,Apartment,Private room,1.0,1.0,1.0,private
170.0,1.29245,103.83742,Apartment,Entire home/apt,1.0,1.0,1.0,baths
69.0,1.31322,103.85583,Apartment,Private room,1.0,1.0,1.0,private
79.0,1.28458,103.84311,Apartment,Private room,1.0,1.0,1.0,private
69.0,1.28386,103.84238,Apartment,Private room,1.0,1.0,1.0,private
50.0,1.37975,103.94375,Apartment,Private room,1.0,1.0,1.0,baths
59.0,1.3072,103.86359,Apartment,Private room,1.0,1.0,3.0,shared
30.0,1.32359,103.8498,Apartment,Private room,1.0,4.0,1.0,baths
130.0,1.31108,103.87374,House,Entire home/apt,4.0,12.0,4.0,baths
60.0,1.28419,103.82765,Apartment,Private room,1.0,1.0,1.0,baths
79.0,1.2841,103.84253,Apartment,Private room,1.0,1.0,2.0,baths
216.0,1.39088,103.85303,Apartment,Private room,1.0,2.0,1.0,baths
84.0,1.34126,103.75992,Apartment,Private room,1.0,1.0,1.0,baths
90.0,1.30292,103.858,Hotel,Private room,1.0,3.0,8.0,baths
63.0,1.28405,103.84424,Hotel,Shared room,1.0,1.0,0.0,shared
378.0,1.28405,103.84424,Hotel,Hotel room,1.0,6.0,0.0,baths
63.0,1.28405,103.84424,Hotel,Hotel room,1.0,1.0,0.0,baths
48.0,1.28466,103.84255,Apartment,Private room,1.0,1.0,1.0,private
95.0,1.31805,103.92361,House,Private room,1.0,1.0,0.0,baths
59.0,1.31612,103.88343,Apartment,Private room,1.0,1.0,3.0,shared
49.0,1.3209,103.91569,Apartment,Private room,1.0,1.0,1.0,baths
60.0,1.32204,103.92125,Apartment,Private room,1.0,1.0,1.0,baths
119.0,1.27525,103.84524,Apartment,Private room,1.0,1.0,1.0,shared
68.0,1.32301,103.92211,Apartment,Private room,1.0,1.0,1.0,baths
95.0,1.31963,103.924,Apartment,Private room,1.0,4.0,4.0,baths
343.0,1.32453,103.85255,Apartment,Private room,1.0,2.0,2.0,baths
139.0,1.31936,103.91663,House,Entire home/apt,1.0,3.0,1.0,baths
50.0,1.36722,103.89765,Apartment,Private room,1.0,1.0,2.0,shared
30.0,1.44076,103.77626,Apartment,Private room,1.0,1.0,1.0,baths
150.0,1.29182,103.83496,Apartment,Entire home/apt,1.0,1.0,1.0,baths
67.0,1.3117,103.86028,Hotel,Private room,1.0,1.0,5.0,shared
98.0,1.3117,103.86028,Hotel,Private room,1.0,1.0,5.0,shared
67.0,1.3117,103.86028,Hotel,Private room,1.0,1.0,5.0,shared
33.0,1.31117,103.86214,Apartment,Private room,1.0,1.0,3.0,shared
78.0,1.30692,103.8007,Apartment,Shared room,1.0,1.0,2.0,shared
183.0,1.2805,103.78439,Hotel,Private room,1.0,1.0,1.0,shared
80.0,1.30085,103.84318,Apartment,Private room,1.0,1.0,1.0,baths
101.0,1.35956,103.88423,Apartment,Private room,1.0,1.0,1.0,private
98.0,1.34806,103.95858,Apartment,Private room,1.0,1.0,1.0,private
89.0,1.34798,103.9617,Apartment,Private room,1.0,1.0,1.0,private
69.0,1.28424,103.84275,Apartment,Private room,1.0,1.0,1.0,private
31.0,1.28497,103.84341,Hotel,Hotel room,1.0,12.0,4.0,baths
58.0,1.30376,103.85923,Hotel,Private room,1.0,1.0,8.0,baths
90.0,1.30171,103.85959,Hotel,Private room,1.0,1.0,8.0,baths
58.0,1.30148,103.85813,Hotel,Private room,1.0,1.0,8.0,baths
88.0,1.31786,103.9059,Apartment,Private room,1.0,1.0,2.0,baths
58.0,1.30348,103.85969,Hotel,Private room,1.0,1.0,8.0,baths
62.0,1.31179,103.86002,Apartment,Private room,1.0,1.0,5.0,shared
50.0,1.28172,103.84074,Apartment,Private room,1.0,1.0,1.0,baths
31.0,1.28268,103.84463,Hotel,Hotel room,1.0,12.0,4.0,baths
31.0,1.283,103.84344,Hotel,Hotel room,1.0,12.0,4.0,baths
89.0,1.31546,103.84117,Apartment,Private room,1.0,1.0,1.0,baths
100.0,1.3111,103.8812,Apartment,Private room,1.0,1.0,1.0,private
110.0,1.29997,103.88536,Apartment,Entire home/apt,1.0,1.0,2.0,baths
106.0,1.38763,103.86942,Apartment,Entire home/apt,1.0,2.0,1.0,baths
261.0,1.29489,103.85401,Hotel,Entire home/apt,1.0,1.0,1.0,baths
150.0,1.30778,103.86171,Apartment,Private room,1.0,1.0,1.0,shared
76.0,1.34081,103.84165,Apartment,Private room,1.0,1.0,2.0,shared
224.0,1.28816,103.84826,Hotel,Entire home/apt,1.0,1.0,1.0,baths
57.0,1.31288,103.85792,Apartment,Private room,1.0,1.0,1.0,private
150.0,1.29887,103.83603,Apartment,Private room,1.0,1.0,1.0,baths
115.0,1.28135,103.84868,Apartment,Entire home/apt,1.0,1.0,2.0,baths
47.0,1.36747,103.83865,Apartment,Private room,1.0,1.0,1.0,private
20.0,1.45328,103.82199,Apartment,Private room,1.0,2.0,1.0,baths
57.0,1.30793,103.86276,Apartment,Private room,1.0,1.0,1.0,private
110.0,1.3004,103.84994,Apartment,Private room,1.0,1.0,1.0,shared
69.0,1.28511,103.84249,Apartment,Private room,1.0,1.0,2.0,shared
79.0,1.28563,103.84212,Apartment,Private room,1.0,1.0,1.0,private
46.0,1.33305,103.87235,Apartment,Shared room,1.0,3.0,2.0,shared
47.0,1.35349,103.83274,Apartment,Private room,1.0,1.0,2.0,shared
150.0,1.316,103.86134,Apartment,Private room,1.0,2.0,1.0,private
206.0,1.28945,103.84879,Hotel,Entire home/apt,1.0,1.0,1.0,baths
74.0,1.31262,103.79717,Apartment,Private room,1.0,1.0,1.0,shared
52.0,1.37165,103.82881,House,Private room,1.0,1.0,1.0,shared
169.0,1.27428,103.84133,Apartment,Entire home/apt,1.0,1.0,1.0,baths
165.0,1.28366,103.83188,Apartment,Private room,1.0,1.0,1.0,baths
169.0,1.27619,103.84074,Apartment,Entire home/apt,1.0,1.0,1.0,baths
85.0,1.3171,103.85742,Apartment,Entire home/apt,1.0,1.0,1.0,baths
160.0,1.28185,103.84657,Apartment,Private room,1.0,1.0,1.0,baths
232.0,1.30358,103.84575,Apartment,Entire home/apt,2.0,2.0,1.0,baths
78.0,1.31279,103.93821,Apartment,Private room,1.0,1.0,1.0,baths
66.0,1.41423,103.83382,Apartment,Private room,1.0,1.0,1.0,shared
228.0,1.27626,103.84073,Apartment,Entire home/apt,1.0,1.0,1.0,baths
200.0,1.2744,103.84063,Apartment,Entire home/apt,1.0,1.0,1.0,baths
116.0,1.32812,103.88436,Apartment,Private room,1.0,1.0,1.0,private
200.0,1.3174,103.84796,Apartment,Private room,1.0,3.0,1.0,private
99.0,1.31778,103.84769,Apartment,Private room,1.0,3.0,1.0,private
240.0,1.30933,103.85843,Apartment,Entire home/apt,1.0,2.0,1.0,baths
500.0,1.27513,103.83581,Apartment,Entire home/apt,1.0,1.0,1.0,baths
