price,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathroom_qty,bathroom_type,mrtDisp,nearestMRT,cityDisp
80.0,1.33432,103.78521,Apartment,Private room,2,1.0,1.0,1,baths,0.2721137757809473,King Albert Park,9.168433351136757
145.0,1.34537,103.95887,Home,Private room,6,2.0,3.0,1,private,0.4567737768127099,Upper Changi,13.932315193929359
184.0,1.3449,103.95979,Home,Private room,4,3.0,5.0,3,baths,0.35395565077488467,Upper Changi,13.995597540155165
79.0,1.31142,103.83924,Apartment,Private room,2,1.0,1.0,1,shared,0.3002942750315156,Newton,3.3477894258608822
49.0,1.28828,103.8102,Apartment,Private room,1,1.0,1.0,0,baths,0.7484828976356619,Redhill,4.458968184572778
55.0,1.28652,103.81225,Apartment,Private room,1,1.0,1.0,2,shared,0.6143131491341643,Redhill,4.211805330179388
55.0,1.28636,103.81138,Apartment,Private room,1,1.0,1.0,4,shared,0.7050458466841341,Redhill,4.306736484274563
42.0,1.34917,103.9609,Home,Private room,1,1.0,1.0,2,shared,0.7759482961072602,Upper Changi,14.339930729246126
79.0,1.31144,103.83784,Home,Private room,2,1.0,1.0,1,baths,0.2665168583819161,Newton,3.408540762014142
66.0,1.31129,103.83788,Home,Private room,2,1.0,1.0,1,shared,0.28287011221025765,Newton,3.3914667221829973
100.0,1.29335,103.83768,Apartment,Private room,1,1.0,1.0,0,baths,0.7949315205057487,Fort Canning,1.7676456764873354
37.0,1.34816,103.93238,Apartment,Private room,2,1.0,1.0,1,baths,0.7120690774237538,Tampines West,11.65677980611882
83.0,1.34361,103.95717,Condominium,Private room,2,1.0,1.0,2,baths,0.4274436018332061,Simei,13.671420074209848
170.0,1.30096,103.85206,Apartment,Private room,2,1.0,1.0,2,baths,0.2993230661551511,Rochor,1.9770130103588586
100.0,1.30938,103.79812,Home,Private room,2,1.0,1.0,1,baths,0.29990507417326634,Holland Village,6.4553730598080765
26.0,1.36926,103.87312,Apartment,Private room,1,1.0,1.0,1,baths,1.6749847148028756,Kovan,9.897842256778548
119.0,1.27663,103.84498,Condominium,Private room,4,1.0,1.0,1,shared,0.20095612493766163,Tanjong Pagar,0.9281740862243171
119.0,1.27585,103.84597,Condominium,Private room,4,1.0,1.0,1,shared,0.10708887417042164,Tanjong Pagar,0.9417855774614938
250.0,1.30416,103.90076,Apartment,Private room,2,1.0,1.0,1,private,1.4108232165168781,Dakota,6.100956719463185
69.0,1.2841,103.84253,Apartment,Private room,1,1.0,1.0,2,shared,0.13240007711337878,Chinatown,0.8351697632281164
55.0,1.29065,103.80941,Apartment,Private room,1,1.0,1.0,0,baths,0.6098813386425918,Queenstown,4.585687649832004
300.0,1.30492,103.90315,Apartment,Entire home/apt,4,2.0,2.0,2,baths,1.6407580244698874,Dakota,6.378863515779448
284.0,1.31313,103.91479,Apartment,Private room,1,1.0,1.0,0,baths,0.8877929696352769,Kembangan,7.929556696107597
150.0,1.27716,103.82299,Condominium,Private room,2,1.0,2.0,1,private,1.1339025786842654,Tiong Bahru,3.079271707096303
57.0,1.3092,103.86339,Apartment,Private room,1,1.0,1.0,1,private,0.18235061560059307,Lavender,3.241885544938071
79.0,1.28485,103.84317,Apartment,Private room,1,1.0,1.0,1,private,0.05972402296008322,Chinatown,0.7785877109624024
57.0,1.31208,103.85846,Apartment,Private room,1,1.0,1.0,1,private,0.40438628259988035,Farrer Park,3.3355249034256023
57.0,1.30663,103.86243,Apartment,Private room,1,1.0,1.0,1,private,0.13260499297368025,Lavender,2.9392435286820926
90.0,1.33389,103.83454,Condominium,Private room,1,1.0,1.0,1,private,0.7032030632944277,Caldecott,5.882035848925188
170.0,1.29245,103.83742,Condominium,Entire home/apt,2,1.0,1.0,1,baths,0.8056756731784479,Fort Canning,1.729428328346081
69.0,1.31322,103.85583,Apartment,Private room,1,1.0,1.0,1,private,0.12231272606567115,Farrer Park,3.3894949960078664
79.0,1.28458,103.84311,Apartment,Private room,1,1.0,1.0,1,private,0.057383361461839776,Chinatown,0.7790535970565334
69.0,1.28386,103.84238,Apartment,Private room,1,1.0,1.0,1,private,0.15921381212077476,Chinatown,0.8493794963866776
50.0,1.37975,103.94375,Home,Private room,2,1.0,1.0,1,baths,0.9547368731306155,Pasir Ris,14.954360496217289
59.0,1.3072,103.86359,Apartment,Private room,1,1.0,1.0,3,shared,0.06399810532956446,Lavender,3.0569623340901377
30.0,1.32359,103.8498,Home,Private room,4,1.0,4.0,1,baths,0.8105142278529162,Novena,4.480104951064671
130.0,1.31108,103.87374,House,Entire home/apt,8,4.0,12.0,4,baths,0.26799609227840465,Kallang,4.062848444167233
60.0,1.28419,103.82765,Apartment,Private room,1,1.0,1.0,1,baths,0.2740596393048982,Tiong Bahru,2.486556399493258
79.0,1.2841,103.84253,Apartment,Private room,1,1.0,1.0,2,baths,0.13240007711337878,Chinatown,0.8351697632281164
216.0,1.39088,103.85303,Home,Private room,3,1.0,2.0,1,baths,1.3562527531227682,Yio Chu Kang,11.967107912933256
84.0,1.34126,103.75992,Apartment,Private room,1,1.0,1.0,1,baths,1.4391355052974768,Bukit Batok,11.90852662223648
90.0,1.30292,103.858,Apartment,Private room,3,1.0,3.0,8,baths,0.33807186467270844,Bugis,2.355950090998227
63.0,1.28405,103.84424,Apartment,Shared room,1,1.0,1.0,0,shared,0.0891686521400095,Chinatown,0.6457308950125067
378.0,1.28405,103.84424,Apartment,Hotel room,6,1.0,6.0,0,baths,0.0891686521400095,Chinatown,0.6457308950125067
63.0,1.28405,103.84424,Apartment,Hotel room,1,1.0,1.0,0,baths,0.0891686521400095,Chinatown,0.6457308950125067
48.0,1.28466,103.84255,Apartment,Private room,1,1.0,1.0,1,private,0.12007164279263412,Chinatown,0.8418887259226411
95.0,1.31805,103.92361,Home,Private room,1,1.0,1.0,0,baths,0.9907410283752631,Bedok,9.049395977259582
59.0,1.31612,103.88343,Apartment,Private room,1,1.0,1.0,3,shared,0.08404645609252173,Aljunied,5.208563550700268
49.0,1.3209,103.91569,Home,Private room,1,1.0,1.0,1,baths,0.2511371312480553,Kembangan,8.41468920501725
60.0,1.32204,103.92125,Home,Private room,2,1.0,1.0,1,baths,0.876671147578475,Kembangan,9.01621808076038
119.0,1.27525,103.84524,Condominium,Private room,4,1.0,1.0,1,shared,0.21188496040924534,Tanjong Pagar,1.0398304141675612
